認識,,,1,名詞,一般,*,*,*,*,認識,,認識
機械学習,,,1,名詞,一般,*,*,*,*,機械学習,,機械学習
リアルタイム行動認識システム開発,,,1,名詞,一般,*,*,*,*,リアルタイム行動認識システム開発,,リアルタイム行動認識システム開発
データ収集,,,1,名詞,一般,*,*,*,*,データ収集,,データ収集
表情認識,,,1,名詞,一般,*,*,*,*,表情認識,,表情認識
分析,,,1,名詞,一般,*,*,*,*,分析,,分析
食行動認識手法,,,1,名詞,一般,*,*,*,*,食行動認識手法,,食行動認識手法
宅内生活行動認識システム,,,1,名詞,一般,*,*,*,*,宅内生活行動認識システム,,宅内生活行動認識システム
物体認識,,,1,名詞,一般,*,*,*,*,物体認識,,物体認識
提案,,,1,名詞,一般,*,*,*,*,提案,,提案
照明制御手法,,,1,名詞,一般,*,*,*,*,照明制御手法,,照明制御手法
知的照明システム,,,1,名詞,一般,*,*,*,*,知的照明システム,,知的照明システム
機械学習入門,,,1,名詞,一般,*,*,*,*,機械学習入門,,機械学習入門
手形状認識手法,,,1,名詞,一般,*,*,*,*,手形状認識手法,,手形状認識手法
食事画像自動記録システム,,,1,名詞,一般,*,*,*,*,食事画像自動記録システム,,食事画像自動記録システム
都市画像,,,1,名詞,一般,*,*,*,*,都市画像,,都市画像
特徴,,,1,名詞,一般,*,*,*,*,特徴,,特徴
高速画像照合,,,1,名詞,一般,*,*,*,*,高速画像照合,,高速画像照合
天井照明,,,1,名詞,一般,*,*,*,*,天井照明,,天井照明
照明変動,,,1,名詞,一般,*,*,*,*,照明変動,,照明変動
非線形距離指標学習,,,1,名詞,一般,*,*,*,*,非線形距離指標学習,,非線形距離指標学習
形状学習データ生成,,,1,名詞,一般,*,*,*,*,形状学習データ生成,,形状学習データ生成
食画像ラベリング環境,,,1,名詞,一般,*,*,*,*,食画像ラベリング環境,,食画像ラベリング環境
地域推定手法,,,1,名詞,一般,*,*,*,*,地域推定手法,,地域推定手法
統計的パターン認識,,,1,名詞,一般,*,*,*,*,統計的パターン認識,,統計的パターン認識
在席推定,,,1,名詞,一般,*,*,*,*,在席推定,,在席推定
有用性推定,,,1,名詞,一般,*,*,*,*,有用性推定,,有用性推定
興味状態推定,,,1,名詞,一般,*,*,*,*,興味状態推定,,興味状態推定
工作機械用制御盤,,,1,名詞,一般,*,*,*,*,工作機械用制御盤,,工作機械用制御盤
HOG,,,1,名詞,一般,*,*,*,*,HOG,,HOG
顔表情変化度測定,,,1,名詞,一般,*,*,*,*,顔表情変化度測定,,顔表情変化度測定
特徴抽出,,,1,名詞,一般,*,*,*,*,特徴抽出,,特徴抽出
顔特徴量,,,1,名詞,一般,*,*,*,*,顔特徴量,,顔特徴量
カメラ間人物照合,,,1,名詞,一般,*,*,*,*,カメラ間人物照合,,カメラ間人物照合
自律分散最適化アルゴリズム,,,1,名詞,一般,*,*,*,*,自律分散最適化アルゴリズム,,自律分散最適化アルゴリズム
濃度共起分析,,,1,名詞,一般,*,*,*,*,濃度共起分析,,濃度共起分析
プロジェクト指向型授業,,,1,名詞,一般,*,*,*,*,プロジェクト指向型授業,,プロジェクト指向型授業
テレビ視聴者,,,1,名詞,一般,*,*,*,*,テレビ視聴者,,テレビ視聴者
安定画素テンプレート,,,1,名詞,一般,*,*,*,*,安定画素テンプレート,,安定画素テンプレート
ユーザ位置情報,,,1,名詞,一般,*,*,*,*,ユーザ位置情報,,ユーザ位置情報
家電消費電力,,,1,名詞,一般,*,*,*,*,家電消費電力,,家電消費電力
交通信号機,,,1,名詞,一般,*,*,*,*,交通信号機,,交通信号機
動作分析,,,1,名詞,一般,*,*,*,*,動作分析,,動作分析
赤外線センサ,,,1,名詞,一般,*,*,*,*,赤外線センサ,,赤外線センサ
食事,,,1,名詞,一般,*,*,*,*,食事,,食事
抽出,,,1,名詞,一般,*,*,*,*,抽出,,抽出
ロバスト,,,1,名詞,一般,*,*,*,*,ロバスト,,ロバスト
教育効果,,,1,名詞,一般,*,*,*,*,教育効果,,教育効果
切削面,,,1,名詞,一般,*,*,*,*,切削面,,切削面
外観検査,,,1,名詞,一般,*,*,*,*,外観検査,,外観検査
部分的弾性変形,,,1,名詞,一般,*,*,*,*,部分的弾性変形,,部分的弾性変形
家具配置,,,1,名詞,一般,*,*,*,*,家具配置,,家具配置
基礎的要件,,,1,名詞,一般,*,*,*,*,基礎的要件,,基礎的要件
Bag,,,1,名詞,一般,*,*,*,*,Bag,,Bag
of,,,1,名詞,一般,*,*,*,*,of,,of
Keypoints,,,1,名詞,一般,*,*,*,*,Keypoints,,Keypoints
研究,,,1,名詞,一般,*,*,*,*,研究,,研究
センサデバイス,,,1,名詞,一般,*,*,*,*,センサデバイス,,センサデバイス
関心,,,1,名詞,一般,*,*,*,*,関心,,関心
D,,,1,名詞,一般,*,*,*,*,D,,D
モーションセンサ,,,1,名詞,一般,*,*,*,*,モーションセンサ,,モーションセンサ
箸,,,1,名詞,一般,*,*,*,*,箸,,箸
実現,,,1,名詞,一般,*,*,*,*,実現,,実現
構築,,,1,名詞,一般,*,*,*,*,構築,,構築
SVM,,,1,名詞,一般,*,*,*,*,SVM,,SVM
ボールエンドミル,,,1,名詞,一般,*,*,*,*,ボールエンドミル,,ボールエンドミル
検出,,,1,名詞,一般,*,*,*,*,検出,,検出
pictorial,,,1,名詞,一般,*,*,*,*,pictorial,,pictorial
symbols,,,1,名詞,一般,*,*,*,*,symbols,,symbols
ディープラーニング,,,1,名詞,一般,*,*,*,*,ディープラーニング,,ディープラーニング
